problem,search.method,plan.length,metric.search,initial.heuristic.val,planning.time.msec,heuristic.time.msec,search.time.msec,grounding.time,expanded.nodes,states.evaluated,duplicates.detected,dead.ends,domain,grounded.fluents,grounded.external.actions,grounded.actions,grounded.predicates,grounded.events,type
instance-_1,hrmax,60,60.0,17,662429,658113,661270,28,25583,580235,442954,0,block-grouping,0,20,40,0,0,continuous
instance-_2,hmrp,61,61.0,103,2497,798,978,46,72,2487,148,0,block-grouping,0,20,40,0,0,continuous
instance-_3,hmrp,33,33.0,67,1638,680,737,29,34,1216,55,0,block-grouping,0,20,40,0,0,continuous
instance-_3,hmax,44,44.0,6,26568,24320,25649,35,17252,386889,272641,0,block-grouping,0,20,40,0,0,continuous
instance-_3,hrmax,47,47.0,11,430891,428045,429975,31,17354,376561,275493,0,block-grouping,0,20,40,0,0,continuous
instance-_1,hmrp,85,85.0,154,4450,2589,2791,36,86,4709,122,0,block-grouping,0,30,60,0,0,continuous
instance-_2,hmax,67,67.0,9,173776,163938,172845,37,158246,3087044,3010878,0,block-grouping,0,20,40,0,0,continuous
instance-_1,hmax,61,61.0,9,178194,169747,177474,60,126238,2632957,2402330,0,block-grouping,0,20,40,0,0,continuous
instance-_2,hrmax,63,63.0,18,3066276,3059108,3065064,29,51297,1104522,937074,0,block-grouping,0,20,40,0,0,continuous
instance-_1,hmrp,51,51.0,83,1856,944,1153,35,52,1928,76,0,block-grouping,0,20,40,0,0,continuous
instance-_1229,hrmax,468,468.0,451,2677,1615,1997,49,1529,18393,13822,0,farmland,0,10,52,0,0,continuous
instance-_1229,hmrp,341,341.0,341,643,32,88,32,342,686,675,0,farmland,0,2,4,0,0,continuous
instance-_1229,hrmax,228,228.0,224,852,162,236,48,230,2299,453,0,farmland,0,6,28,0,0,continuous
instance-_1229,hmrp,513,513.0,513,938,228,314,41,514,6151,1019,0,farmland,0,6,28,0,0,continuous
instance-_1229,hmax,171,171.0,166,896,112,240,57,184,1818,400,0,farmland,0,6,28,0,0,continuous
instance-_1229,hmax,285,285.0,280,1018,140,391,39,298,2958,628,0,farmland,0,6,28,0,0,continuous
instance-_1229,hmax,56,56.0,51,684,59,97,49,62,611,127,0,farmland,0,6,28,0,0,continuous
