problem,search.method,plan.length,metric.search,initial.heuristic.val,planning.time.msec,heuristic.time.msec,search.time.msec,grounding.time,expanded.nodes,states.evaluated,duplicates.detected,dead.ends,domain,grounded.fluents,grounded.external.actions,grounded.actions,grounded.predicates,grounded.events
instance-_1,aibr,52,52.0,165,2244,1263,1369,27,53,1959,100,0,block-grouping,0,20,40,0,0
instance-_1,aibr,98,98.0,291,9118,7940,8098,68,107,5839,216,0,block-grouping,0,30,60,0,0
instance-_3,hmax,44,44.0,6,26568,24320,25649,35,17252,386889,272641,0,block-grouping,0,20,40,0,0
instance-_1,hrmax,60,60.0,17,662429,658113,661270,28,25583,580235,442954,0,block-grouping,0,20,40,0,0
instance-_1,hmrp,85,85.0,154,4450,2589,2791,36,86,4709,122,0,block-grouping,0,30,60,0,0
instance-_1,hmrp,51,51.0,83,1856,944,1153,35,52,1928,76,0,block-grouping,0,20,40,0,0
instance-_2,hmax,67,67.0,9,173776,163938,172845,37,158246,3087044,3010878,0,block-grouping,0,20,40,0,0
instance-_3,hmrp,33,33.0,67,1638,680,737,29,34,1216,55,0,block-grouping,0,20,40,0,0
instance-_2,aibr,55,55.0,170,2008,1136,1337,42,56,2082,107,0,block-grouping,0,20,40,0,0
instance-_1,hmax,61,61.0,9,178194,169747,177474,60,126238,2632957,2402330,0,block-grouping,0,20,40,0,0
instance-_3,aibr,34,34.0,114,1943,1042,1184,62,35,1186,64,0,block-grouping,0,20,40,0,0
instance-_2,hmrp,61,61.0,103,2497,798,978,46,72,2487,148,0,block-grouping,0,20,40,0,0
instance-_2,hrmax,63,63.0,18,3066276,3059108,3065064,29,51297,1104522,937074,0,block-grouping,0,20,40,0,0
instance-_3,hrmax,47,47.0,11,430891,428045,429975,31,17354,376561,275493,0,block-grouping,0,20,40,0,0
instance-_1229,hrmax,112,112.0,111,654,13,45,31,113,228,217,0,farmland,0,2,4,0,0
instance-_1229,aibr,71,71.0,20,1503,730,831,50,1035,9075,9105,0,farmland,0,6,28,0,0
instance-_1229,hmax,115,115.0,111,791,33,161,35,118,705,233,0,farmland,0,4,16,0,0
instance-_1229,hrmax,468,468.0,451,2677,1615,1997,49,1529,18393,13822,0,farmland,0,10,52,0,0
instance-_1229,aibr,169,169.0,58,802,115,165,43,203,410,395,0,farmland,0,2,4,0,0
instance-_1229,hmrp,512,512.0,512,778,35,202,29,513,1028,1017,0,farmland,0,2,4,0,0
instance-_1229,aibr,496,496.0,141,42450,40756,41742,64,19367,380593,220693,0,farmland,0,10,52,0,0
instance-_1229,hmax,180,180.0,172,1105,235,403,82,332,4502,1699,0,farmland,0,8,40,0,0
instance-_1229,hrmax,128,128.0,108,2856,1350,1636,172,1251,16720,13496,0,farmland,0,10,52,0,0
instance-_1229,hrmax,455,455.0,454,662,27,87,29,456,914,903,0,farmland,0,2,4,0,0
instance-_1229,hmax,399,399.0,394,1009,247,408,33,418,4144,891,0,farmland,0,6,28,0,0
instance-_1229,hrmax,113,113.0,110,777,104,160,38,115,1142,223,0,farmland,0,6,28,0,0
instance-_1229,hmrp,357,357.0,355,1358,576,719,43,362,6491,726,0,farmland,0,8,40,0,0
instance-_1229,hmax,284,284.0,283,723,60,136,34,285,572,561,0,farmland,0,2,4,0,0
instance-_1229,aibr,233,233.0,85,1649,995,1072,38,1094,6831,6229,0,farmland,0,4,16,0,0
instance-_1229,hmax,69,69.0,50,1146,332,447,54,630,8113,5202,0,farmland,0,10,52,0,0
instance-_1229,aibr,104,104.0,36,2564,1550,1815,72,1210,17595,8993,0,farmland,0,8,40,0,0
instance-_1229,hrmax,456,456.0,453,1626,243,327,46,458,4572,909,0,farmland,0,6,28,0,0
instance-_1229,hmax,572,572.0,568,967,136,337,29,574,3443,1141,0,farmland,0,4,16,0,0
instance-_1229,hrmax,284,284.0,283,859,23,78,50,285,572,561,0,farmland,0,2,4,0,0
instance-_1229,hmrp,171,171.0,170,1100,120,202,37,173,1730,340,0,farmland,0,6,28,0,0
instance-_1229,hmrp,55,55.0,55,634,12,42,35,56,114,103,0,farmland,0,2,4,0,0
instance-_1229,hmrp,293,293.0,285,2176,466,706,61,487,8410,2391,0,farmland,0,10,52,0,0
