problem,search.method,plan.length,metric.search,initial.heuristic.val,planning.time.msec,heuristic.time.msec,search.time.msec,grounding.time,expanded.nodes,states.evaluated,duplicates.detected,dead.ends,domain,grounded.fluents,grounded.external.actions,grounded.actions,grounded.predicates,grounded.events
instance-_3,lm_opt,336,336.0,1138,5536,3056,3447,131,337,12835,605,0,block-grouping,0,20,40,0,0
instance-_2,sat-hmrp,789,789.0,1614,142524,138452,139873,88,790,62175,945,0,block-grouping,0,40,80,0,0
instance-_3,opt,688,688.0,2378,23490,19626,21511,40,689,39981,1157,0,block-grouping,0,30,60,0,0
instance-_1,sat-hmrp,51,51.0,83,1866,389,562,45,52,1928,76,0,block-grouping,0,20,40,0,0
instance-_1,lm_opt,40,40.0,141,7179,4195,4678,32,41,2564,72,0,block-grouping,0,40,80,0,0
instance-_1,lm_opt,1005,1005.0,3587,662449,657108,658857,54,1006,96737,1658,0,block-grouping,0,50,100,0,0
instance-_1,sat-hmrph,26,26.0,63,2958,877,1570,98,27,782,22,0,block-grouping,0,30,60,0,0
instance-_1,sat-hmrphj,137,137.0,201,17510,14355,15066,26,50,3484,28,0,block-grouping,0,50,100,0,0
instance-_2,sat-haddabs,611,611.0,2156,18979,16252,17164,39,612,35325,978,0,block-grouping,0,30,60,0,0
instance-_3,aibr,95,95.0,386,10314,6987,7630,86,96,7035,165,0,block-grouping,0,40,80,0,0
instance-_3,sat-hmrp,33,33.0,67,1572,474,566,50,34,1216,55,0,block-grouping,0,20,40,0,0
instance-_1,aibr,47,47.0,152,1332,360,443,44,48,1772,85,0,block-grouping,0,20,40,0,0
instance-_1,sat-hmrphj,921,921.0,1371,7248,3657,5389,54,69,3268,53,0,block-grouping,0,30,60,0,0
instance-_1,sat-hmrp,1105,1105.0,1589,733598,727518,730303,125,1142,109819,1527,0,block-grouping,0,50,100,0,0
instance-_2,sas,139,139.0,431,55174,52514,53322,32,140,13074,235,0,block-grouping,0,50,100,0,0
instance-_2,aibr,86,86.0,241,16371,13932,14396,94,87,6643,132,0,block-grouping,0,40,80,0,0
instance-_3,aibr,870,870.0,3177,538276,533168,534857,200,871,84786,1250,0,block-grouping,0,50,100,0,0
